"","X","idno","agea","gndr","hinctnta","hlthhmp","medtrun","fltsd","cldgng","fltdpr","slprl","cgtsmok","alcfreq","dosprt","ctrlife"
"611",636,64469,70,2,3,2,1,2,3,2,4,6,3,2,8
"612",637,64474,52,2,8,2,1,2,1,2,2,4,3,7,5
"613",638,64482,49,1,77,3,8,3,2,1,3,4,4,0,0
"614",639,64530,64,2,1,1,2,2,2,2,3,4,6,3,7
"615",640,64568,75,2,77,3,2,1,1,1,1,6,7,7,5
"616",641,64590,24,2,88,3,1,1,1,1,1,5,4,5,8
"617",642,64617,30,1,88,3,2,1,1,1,2,6,7,7,8
"618",643,64625,39,1,77,1,2,1,3,1,1,6,7,5,5
"619",644,64646,73,1,77,3,2,1,2,1,1,4,3,3,7
"620",645,64653,76,1,2,3,2,1,1,1,1,4,1,2,8
"621",646,64688,71,1,2,3,1,2,2,2,1,2,6,1,5
"622",647,64693,47,2,8,3,2,2,1,1,2,6,5,7,10
"623",648,64722,18,1,88,3,2,2,2,1,1,6,2,5,6
"624",649,64742,86,2,1,2,1,2,2,1,1,4,1,1,9
"625",650,64789,59,1,9,3,2,2,2,2,3,1,7,5,3
"626",651,64829,34,1,3,3,2,1,2,1,2,6,7,5,7
"627",652,64831,44,2,9,3,1,1,1,1,2,4,6,7,7
"628",653,64865,73,2,3,3,2,1,1,1,1,6,2,7,7
"629",654,64868,72,1,77,1,2,1,1,1,2,6,5,7,7
"630",655,64885,42,1,6,3,2,1,2,1,1,6,7,1,8
"631",656,64889,43,2,7,3,1,2,1,1,1,6,3,7,7
"632",657,64890,68,1,4,3,2,1,1,1,1,6,2,7,10
"633",658,64895,25,2,88,1,1,2,2,2,2,5,5,1,4
"634",659,64907,79,1,1,3,2,1,1,1,2,4,3,4,9
"635",660,64912,75,1,3,3,2,1,1,2,2,6,2,7,8
"636",661,64943,33,1,10,3,2,1,1,1,2,6,4,7,8
"637",662,64976,76,2,88,3,2,1,1,1,1,4,2,7,8
"638",663,64988,45,1,2,3,2,1,1,1,1,6,7,1,6
"639",664,65006,81,1,88,1,2,2,3,2,3,4,1,5,3
"640",665,65071,69,2,8,3,2,1,1,1,2,4,2,2,7
"641",666,65080,59,1,7,3,2,1,1,1,2,4,3,5,9
"642",667,65133,61,1,5,1,1,1,1,1,3,1,2,0,10
"643",668,65156,62,2,4,3,1,2,2,1,2,6,5,5,7
"644",669,65200,67,1,6,3,2,1,1,1,1,6,2,6,7
"645",670,65248,72,1,3,2,2,2,3,2,2,4,3,0,5
"646",672,65286,48,1,2,2,2,2,1,2,1,6,3,6,7
"647",673,65375,32,1,8,3,2,2,2,1,2,6,4,0,7
"648",674,65378,33,2,5,3,2,2,1,1,2,6,5,5,7
"649",675,65437,80,1,5,3,1,1,2,1,1,6,2,5,7
"650",676,65462,31,1,77,3,2,1,1,1,1,6,7,0,6
"651",677,65470,71,1,8,3,2,1,1,2,1,6,1,7,8
"652",678,65493,31,1,7,3,2,2,2,1,2,5,3,5,6
"653",679,65516,43,1,3,2,2,2,2,2,1,6,4,2,2
"654",680,65524,20,2,1,2,1,2,1,1,1,6,6,5,5
"655",681,65562,82,2,2,3,2,2,2,2,2,6,7,5,6
"656",682,65616,61,1,7,3,2,1,2,1,2,5,2,2,6
"657",684,65643,36,1,2,3,2,1,1,1,1,4,7,3,6
"658",685,65672,68,2,4,3,2,1,1,1,2,6,2,3,7
"659",686,65676,63,2,77,3,1,2,2,2,3,1,2,1,9
"660",687,65677,51,1,8,3,2,2,2,1,3,4,3,5,8
"661",688,65693,47,1,8,3,1,1,2,1,2,4,3,6,4
"662",689,65733,75,2,77,3,2,1,2,1,2,6,7,6,8
"663",690,65765,72,1,8,3,2,1,1,1,1,4,2,4,8
"664",691,65776,35,2,8,2,2,1,2,1,2,6,6,3,8
"665",692,65787,33,1,77,2,2,2,2,2,2,6,7,3,5
"666",693,65792,36,1,77,3,2,2,2,2,2,6,7,4,5
"667",694,65795,34,1,88,3,2,1,2,2,2,6,7,4,10
"668",695,65808,60,2,1,1,2,3,4,3,4,1,7,0,3
"669",696,65811,15,1,7,3,2,2,2,1,2,6,7,7,5
"670",697,65821,27,1,8,3,2,2,2,1,2,5,2,4,7
"671",698,65879,36,2,5,3,2,4,2,2,2,6,4,7,4
"672",699,65886,62,2,1,3,1,2,1,1,2,5,3,7,10
"673",700,65891,51,1,7,3,2,2,2,1,2,6,7,3,8
"674",701,65902,32,1,4,3,2,1,1,1,2,6,7,5,7
"675",702,65941,41,1,9,3,2,1,1,1,1,4,2,1,5
"676",703,65942,83,2,77,2,1,2,1,1,2,5,6,1,9
"677",704,65959,47,2,77,3,2,1,3,2,1,6,7,4,7
"678",705,65963,47,1,6,1,1,3,2,2,4,2,2,7,4
"679",706,65974,26,2,88,3,1,2,3,2,2,6,6,4,6
"680",707,65975,38,1,8,3,2,1,1,1,1,6,6,3,7
"681",708,65992,65,2,88,2,2,2,3,2,2,6,6,1,5
"682",709,66017,68,1,2,2,2,1,2,1,1,6,1,3,8
"683",710,66044,61,1,6,3,2,1,1,1,2,4,3,7,8
"684",711,66047,59,1,3,3,2,2,2,2,1,1,7,0,7
"685",712,66050,60,2,3,3,2,1,1,1,1,4,2,5,8
"686",713,66059,42,1,77,3,1,1,1,1,1,4,3,3,10
"687",714,66074,48,2,10,2,2,1,2,1,3,4,6,7,6
"688",715,66131,38,1,5,3,2,1,1,2,1,4,1,4,9
"689",716,66143,75,2,3,3,2,1,2,1,4,4,2,0,8
"690",717,66194,56,2,4,2,2,3,3,3,3,1,2,0,6
"691",718,66202,55,1,10,3,1,2,2,3,2,6,2,7,7
"692",719,66241,58,2,6,3,1,2,1,1,1,6,3,1,8
"693",720,66245,86,1,1,1,2,2,1,1,2,4,7,0,0
"694",721,66256,82,2,7,3,2,1,1,1,1,5,4,5,8
